Variable Name,,,,Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Share | Adults | share of total (ratio),Net personal wealth | equal-split adults | Share | Adults | share of total (ratio),Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio),Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
,CN,2013,p77p78,41967.3809894,180504.123976,62354.4773523,,,,0.0133326305,0.0076935561,0.0125224264,41416.1054688,175554.328125,61301.5273438
,CN,2013,p78p79,43097.9098407,189252.731687,64527.8010228,,,,0.0136917885,0.0080664447,0.012958887,42525.3671875,186079.6875,63419.4023438
,CN,2013,p79p80,44194.5794266,199032.22106,66819.5041907,,,,0.0140401898,0.008483272,0.0134191215,43667.6171875,193727.484375,65656.6484375
,CN,2013,p80p81,45192.3228921,204159.724935,69240.2672173,,,,0.0143571636,0.0087018199,0.0139052747,44695.5625,201668.359375,68009.9453125
,CN,2013,p81p82,46223.7705543,214127.266202,71803.4143864,,,,0.0146848448,0.0091266623,0.0144200223,45694.1445312,208706.421875,70493.8125
,CN,2013,p82p83,47366.456797,223575.125508,74526.0342762,,,,0.015047865,0.009529355,0.0149667962,46771.5703125,218527.1875,73138.65625
,CN,2013,p83p84,48682.1106199,235202.429825,77418.4622202,,,,0.0154658351,0.0100249406,0.0155476723,47995.7890625,228898.796875,75938.6328125
,CN,2013,p84p85,50177.2526649,249949.841803,80513.270413,,,,0.0159408264,0.0106535135,0.0161691923,49399.1796875,241144.59375,78926.140625
,CN,2013,p85p86,51875.4378776,266584.549233,83830.858151,,,,0.0164803248,0.0113625284,0.0168354511,50979.171875,259295.53125,82131.2109375
,CN,2013,p86p87,53794.9023452,277958.471183,87416.040308,,,,0.0170901194,0.0118473144,0.0175554492,52806.5703125,269127.9375,85585.1171875
,CN,2013,p87p88,55940.7517068,297811.243216,91314.3683347,,,,0.0177718345,0.0126934918,0.0183383375,54827.0898438,286573.5625,89307.359375
,CN,2013,p88p89,58397.358879,322693.174512,95603.7953005,,,,0.0185522754,0.0137540242,0.0191997681,57096.2773438,308791.625,93393.3359375
,CN,2013,p89p90,61471.9073373,342437.8326,100382.526256,,,,0.0195290297,0.0145955933,0.0201594625,59843.6171875,335225.5625,97902.71875
,CN,2013,p90p91,65275.1743326,391699.861644,105800.101768,,,,0.0207372904,0.0166952685,0.0212474559,63254.2421875,359030,102967.65625
,CN,2013,p91p92,69622.0310166,479417.425417,112088.419424,,,,0.0221182443,0.0204340201,0.0225103162,67366.375,432829.78125,108776.664062
,CN,2013,p92p93,74118.5368149,583996.174556,119574.534763,,,,0.0235467423,0.0248914398,0.024013726,71744.7734375,528683.75,115605.929688
,CN,2013,p93p94,79346.6337991,709303.089936,128727.802178,,,,0.0252076574,0.0302323475,0.0258519426,76605.890625,642728.875,123825.085938
,CN,2013,p94p95,84865.8568879,862044.585625,140315.587218,,,,0.0269610602,0.0367425866,0.0281790756,82125.1953125,780388.4375,134044.578125
,CN,2013,p95p96,92133.2709903,1052886.04336,155482.258624,,,,0.029269848,0.0448767468,0.0312249456,87883.703125,949928.6875,147170.328125
,CN,2013,p96p97,102921.591246,1300673.28062,176579.969246,,,,0.0326971933,0.0554380864,0.0354619212,96865.1875,1165047.625,164736.546875
,CN,2013,p97p98,118738.295419,1644856.97045,208000.623243,,,,0.0377220064,0.0701080933,0.0417720191,109719.320312,1451492.125,190008.890625
,CN,2013,p98p99,146716.825951,2199406.33034,262913.451226,,,,0.0466105156,0.0937444344,0.0527999662,129750.164062,1868946.125,229300.421875
,CN,2013,p1p100,31789.3338697,237645.73985,50301.7418716,30.0840759277,-5.00045633316,201.067169189,0.9998171926,1.002779007,1.000090003,1056.68310547,-47524.8085938,250.173828125
,CN,2013,p2p100,32101.3748743,240364.4365,50808.1499465,22.2474441528,-23.04337883,48.0913238525,0.999432981,1.0040062666,0.9999546409,1442.92419434,-10430.9541016,1056.49304199
,CN,2013,p3p100,32412.6696105,242856.298557,51317.4926978,13.509396553,254.290725708,29.5265197754,0.9988275766,1.0040636063,0.9996730685,2399.26855469,955.034057617,1738.0135498
,CN,2013,p4p100,32722.1965627,245368.691718,51830.5958667,11.1558618546,103.068885803,21.7878131866,0.9979704022,1.0039923191,0.9992594719,2933.18408203,2380.62817383,2378.88012695
,CN,2013,p5p100,33033.5513881,247918.952673,52347.8742622,9.85687351227,65.1351699829,17.4670162201,0.9969717264,1.0038604736,0.9987193942,3351.32128906,3806.22241211,2996.95556641
,CN,2013,p6p100,33347.3330396,250508.306463,52869.6302683,9.00218486786,47.8817100525,14.6610193253,0.995847702,1.0036678314,0.9980561733,3704.36010742,5231.81640625,3606.13598633
,CN,2013,p7p100,33664.6037384,253138.009148,53396.1197486,8.43948173523,37.8744812012,12.6988306046,0.9946274161,1.0034143925,0.997271657,3988.94213867,6683.60351562,4204.80615234
,CN,2013,p8p100,33985.1812787,255808.153766,53927.5753062,7.80392313004,30.8735637665,11.2361927032,0.9933022261,1.0030953884,0.9963675141,4354.88427734,8285.66992188,4799.45263672
,CN,2013,p9p100,34308.9105917,258519.376102,54464.2024071,7.31246328354,26.1454544067,10.1051692963,0.991864383221,1.00270807743,0.995344400406,4691.84033203,9887.73730469,5389.73681641
,CN,2013,p10p100,34636.3731853,261273.040759,55006.2336547,6.96540117264,22.7395572662,9.20615196228,0.990327656269,1.00225245953,0.994203388691,4972.63134766,11489.8037109,5974.94287109
,CN,2013,p11p100,34968.3792938,264070.605384,55553.8745149,6.72353363037,20.1705780029,8.47319316864,0.9887112975,1.0017286539,0.9929450154,5200.89306641,13091.8710938,6556.42724609
,CN,2013,p12p100,35304.7971087,266895.214003,56107.3459607,6.37728643417,15.1585798264,7.85879611969,0.9870074391,1.001067996,0.9915696979,5536.02197266,17606.875,7139.43261719
,CN,2013,p13p100,35645.0683825,269750.898402,56666.872842,6.08550167084,14.2518377304,7.34144735336,0.9851959944,1.0002813339,0.9900777936,5857.37548828,18927.4472656,7718.76025391
,CN,2013,p14p100,35989.7474861,272665.943126,57232.6800083,5.86401510239,14.2461585999,6.89855289459,0.9832891226,0.9994690418,0.9884697199,6137.39013672,19139.6113281,8296.33105469
,CN,2013,p15p100,36339.5554891,275648.070599,57805.0039397,5.70624542236,14.353802681,6.51404571533,0.9813016057,0.9986516237,0.9867455959,6368.3828125,19203.8359375,8873.90234375
,CN,2013,p16p100,36695.0041185,278700.847402,58384.092746,5.53897857666,14.4956283569,6.17951250076,0.9792423844,0.9978326559,0.9849057198,6624.86865234,19226.5449219,9448.00976562
,CN,2013,p17p100,37055.0582904,281826.568554,58970.198414,5.29929685593,14.5687217712,5.88208770752,0.977078855,0.9970111847,0.9829502106,6992.44824219,19344.6328125,10025.3857422
,CN,2013,p18p100,37419.7141279,285024.582765,59563.5845607,5.11979913712,14.2680149078,5.61920833588,0.9748063087,0.9961764812,0.980879128,7308.82470703,19976.4707031,10599.9960938
,CN,2013,p19p100,37789.801249,288292.936169,60164.5264331,4.99274730682,14.0095891953,5.38379955292,0.9724417925,0.9953114986,0.9786927104,7568.93945312,20578.2578125,11175.1054688
,CN,2013,p20p100,38166.1415182,291629.985037,60773.3147852,4.89050245285,12.993891716,5.17330312729,0.9700011015,0.9944024086,0.9763909578,7804.13476562,22443.6210938,11747.4873047
,CN,2013,p21p100,38548.1844414,295015.849554,61390.2442475,4.71164989471,11.3788957596,4.98224067688,0.9674643874,0.9933734536,0.9739738107,8181.46191406,25926.5800781,12321.8144531
,CN,2013,p22p100,38935.1701814,298448.234701,62015.6365879,4.56279039383,10.4909753799,4.80908727646,0.9648074508,0.992210269,0.9714415073,8533.19238281,28448.0917969,12895.5107422
,CN,2013,p23p100,39328.044658,301943.484726,62649.8290808,4.45800971985,10.0449838638,4.65141105652,0.9620487094,0.990960896,0.9687940478,8821.88378906,30059.1308594,13468.9941406
,CN,2013,p24p100,39727.8003111,305513.446883,63293.2016448,4.38240385056,9.81275749207,4.50882291794,0.9592064619,0.9896554947,0.966031909,9065.29882812,31134.3105469,14037.6337891
,CN,2013,p25p100,40134.8054291,309166.122721,63946.2001025,4.2929520607,9.66967487335,4.38059997559,0.9562829137,0.9883102179,0.9631564617,9348.99902344,31972.7519531,14597.5888672
,CN,2013,p26p100,40548.590929,312906.3814,64609.2974137,4.18493556976,9.53328132629,4.26292896271,0.9532601833,0.9869297743,0.9601687193,9689.17871094,32822.5273438,15156.0810547
,CN,2013,p27p100,40968.6412071,316736.269826,65282.9665382,4.06017208099,9.35236263275,4.15623950958,0.950119853,0.9855091572,0.957069695,10090.3710938,33866.9804688,15707.21875
,CN,2013,p28p100,41394.5569613,320656.067123,65967.6649288,3.94454407692,9.10728740692,4.05684137344,0.9468467832,0.9840382338,0.9538596272,10494.1298828,35208.734375,16260.8447266
,CN,2013,p29p100,41827.3926593,324669.277847,66663.8849288,3.85588741302,8.81031417847,3.96500134468,0.9434592128,0.9825158119,0.9505386949,10847.6699219,36851.0429688,16813.0800781
,CN,2013,p30p100,42266.9234514,328763.930687,67372.1072515,3.74446964264,8.50045585632,3.87996506691,0.9399454594,0.9808943272,0.9471068978,11287.8261719,38676.0351562,17364.1015625
,CN,2013,p31p100,42712.5678296,332955.129341,68092.8513771,3.65252518654,8.23650074005,3.80065560341,0.9362864494,0.9792078733,0.9435641766,11693.9833984,40424.34375,17916.0800781
,CN,2013,p32p100,43166.8262778,337245.727077,68826.6755533,3.6113846302,8.04213619232,3.72617554665,0.9325304031,0.9774518609,0.9399105906,11952.9853516,41934.84375,18471.1308594
,CN,2013,p33p100,43630.8811955,341642.826041,69574.1535345,3.57559275627,7.88242340088,3.65729880333,0.9286942482,0.9756345749,0.9361459613,12202.4189453,43342.359375,19023.3710938
,CN,2013,p34p100,44104.7946101,346151.760601,70335.9055958,3.52468514442,7.73048782349,3.59302353859,0.9247699976,0.9737567902,0.9322702885,12513.1162109,44777.4804688,19575.6875
,CN,2013,p35p100,44588.1245756,350776.531531,71112.5675191,3.4642124176,7.57142591476,3.53263926506,0.9207389355,0.9718156457,0.9282833338,12871.0712891,46328.9921875,20130.1523438
,CN,2013,p36p100,45080.9563798,355520.395274,71904.8371139,3.41288876534,7.40165615082,3.47654366493,0.9165941477,0.969805181,0.924184978,13209.0322266,48032.546875,20682.8515625
,CN,2013,p37p100,45583.9490651,360386.794357,72713.4432034,3.35468435287,7.22836780548,3.42331457138,0.9123395681,0.9677194953,0.9199751616,13588.1484375,49857.2851562,21240.6542969
,CN,2013,p38p100,46096.6064113,365380.442872,73539.1843917,3.2882039547,7.06868982315,3.37410974503,0.9079555273,0.9655549526,0.9156538844,14018.7792969,51689.9804688,21795.1367188
,CN,2013,p39p100,46618.9361718,370509.094255,74382.8592829,3.22750520706,6.94921541214,3.32764744759,0.9034334421,0.9633158445,0.9112206697,14444.2636719,53316.6796875,22352.9863281
,CN,2013,p40p100,47151.6555399,375784.626775,75245.3750295,3.16774082184,6.88249397278,3.28407359123,0.8987774849,0.9610152245,0.9066755176,14884.9472656,54600.0664062,22912.2070312
,CN,2013,p41p100,47694.3419529,381218.205384,76127.662044,3.09993028641,6.82899951935,3.24344849586,0.8939698339,0.9586623311,0.9020183086,15385.6181641,55823.4335938,23471.2109375
,CN,2013,p42p100,48247.3714528,386816.467024,77030.7437802,3.04325485229,6.75429821014,3.20568180084,0.889007926,0.956253469,0.8972488642,15853.8710938,57269.6757812,24029.4414062
,CN,2013,p43p100,48811.5542738,392582.482056,77955.6902127,2.98739051819,6.64146852493,3.17036032677,0.8838965893,0.953774631,0.8923670053,16339.1943359,59110.7929688,24588.90625
,CN,2013,p44p100,49387.4486635,398517.708128,78903.6410968,2.947879076,6.49322271347,3.1374206543,0.8786351681,0.951208353,0.8873723745,16753.5527344,61374.4101562,25149.2070312
,CN,2013,p45p100,49977.9156407,404624.750395,79875.8447363,2.92772555351,6.3318362236,3.10640454292,0.8732625842,0.9485388994,0.8822649121,17070.5605469,63903.2265625,25713.2792969
,CN,2013,p46p100,50584.1143443,410911.548377,80873.6269689,2.90311002731,6.19719266891,3.07766294479,0.8677845001,0.9457625747,0.8770443201,17424.1113281,66306.078125,26277.609375
,CN,2013,p47p100,51206.161076,417395.593832,81898.3679069,2.87402653694,6.12857055664,3.05039143562,0.8621881604,0.9428960681,0.8717098236,17816.8710938,68106.515625,26848.4785156
,CN,2013,p48p100,51843.8813834,424098.844497,82951.4709225,2.8360350132,6.10074901581,3.0241394043,0.8564555645,0.9399623275,0.8662600517,18280.4101562,69515.8671875,27429.7773438
,CN,2013,p49p100,52497.0116496,431038.016786,84034.2618536,2.79292821884,6.07855272293,2.99762892723,0.8505674005,0.9369701743,0.8606912494,18796.40625,70911.2890625,28033.5761719
,CN,2013,p50p100,53165.5247375,438224.554772,85147.9269765,2.7462015152,6.03878068924,2.96939063072,0.8445086479,0.9339136481,0.8549976349,19359.6582031,72568.3828125,28675.21875
,CN,2013,p51p100,53849.1454002,445666.677102,86293.6137998,2.69413495064,5.97226524353,2.94010567665,0.8382602334,0.9307784438,0.8491718173,19987.5449219,74622.71875,29350.5136719
,CN,2013,p52p100,54547.0672799,453372.19924,87472.6249014,2.63280630112,5.88628578186,2.90989565849,0.8317956328,0.9275474548,0.8432070613,20718.2226562,77021.78125,30060.3984375
,CN,2013,p53p100,55258.5654303,461353.309593,88686.3636535,2.57091188431,5.8057384491,2.87929391861,0.8250902295,0.9242118001,0.8370965123,21493.7617188,79465.0546875,30801.4277344
,CN,2013,p54p100,55984.2523729,469632.027924,89936.4117576,2.51322054863,5.75859212875,2.84862780571,0.8181401491,0.9207794666,0.8308339715,22275.9003906,81553.2734375,31571.8378906
,CN,2013,p55p100,56724.0544501,478232.669018,91224.5369975,2.45407652855,5.71259498596,2.81765246391,0.8109307289,0.9172587395,0.8244133592,23114.2148438,83715.484375,32376.078125
,CN,2013,p56p100,57478.1422375,487169.344131,92552.6157055,2.39717173576,5.63612985611,2.78701686859,0.803450942,0.9136349559,0.8178284168,23977.4824219,86436.859375,33208.4882812
,CN,2013,p57p100,58247.1902844,496450.892184,93922.7102962,2.34484243393,5.53051567078,2.75649809837,0.7956964374,0.9098813534,0.8110729456,24840.5566406,89765.75,34073.1992188
,CN,2013,p58p100,59032.3848666,506102.527358,95337.0460062,2.29780960083,5.43311309814,2.72575306892,0.787668705,0.9059991837,0.8041402698,25690.7207031,93151.4765625,34976.40625
,CN,2013,p59p100,59835.1991376,516130.235307,96798.0108948,2.25345540047,5.38260698318,2.69577383995,0.7793716192,0.9019514322,0.7970234752,26552.6445312,95888.5234375,35907.3203125
,CN,2013,p60p100,60656.2262353,526602.680483,98308.279898,2.21092867851,5.33844614029,2.66589331627,0.7707958221,0.8978071809,0.7897160053,27434.7285156,98643.4375,36876.3007812
,CN,2013,p61p100,61496.7377238,537534.904554,99870.6209934,2.17143678665,5.27254295349,2.63612914085,0.7619398236,0.8935344219,0.7822096944,28320.7597656,101949.835938,37885.328125
,CN,2013,p62p100,62358.540154,548949.702631,101488.127803,2.13811922073,5.19945192337,2.60675215721,0.7528067827,0.88911134,0.774496913,29165.1386719,105578.382812,38932.7890625
,CN,2013,p63p100,63245.0527924,560890.245858,103164.196333,2.11249828339,5.16450357437,2.5776693821,0.7434166074,0.884544313,0.7665695548,29938.5097656,108604.867188,40022.2773438
,CN,2013,p64p100,64160.3655776,573413.041295,104902.524973,2.09342217445,5.13669252396,2.54901981354,0.7337925434,0.8798529506,0.7584191561,30648.5566406,111630.789062,41154.0625
,CN,2013,p65p100,65107.8318719,586554.250977,106707.122251,2.07717633247,5.08083772659,2.52053976059,0.7239444852,0.8750165105,0.7500362992,31344.3945312,115444.398438,42335.0273438
,CN,2013,p66p100,66091.153942,600349.416666,108582.43864,2.06545734406,5.02404737473,2.49224615097,0.7138816714,0.870007515,0.7414115667,31998.3164062,119495.179688,43568.1054688
,CN,2013,p67p100,67115.1893171,614870.738382,110533.405328,2.05956816673,5.00388860703,2.46481251717,0.7036209106,0.8648439646,0.732534945,32587.0195312,122878.585938,44844.546875
,CN,2013,p68p100,68183.9930454,630171.373696,112565.441967,2.04884076118,4.92330741882,2.43744754791,0.6931646466,0.8595054746,0.7233956456,33279.3046875,127997.5625,46181.6875
,CN,2013,p69p100,69297.5186063,646275.823475,114684.510953,2.03488373756,4.84382581711,2.41044306755,0.682469666,0.8539247513,0.7139820457,34054.78125,133422.59375,47578.1875
,CN,2013,p70p100,70458.9604165,663331.216965,116897.365529,2.02108311653,4.89343500137,2.38413786888,0.671523869,0.8481871486,0.7042823434,34861.9804688,135555.328125,49031.2929688
,CN,2013,p71p100,71671.9393316,681485.241661,119211.596312,2.00729393959,4.9152340889,2.35834813118,0.6603149772,0.842353642,0.6942842603,35705.7539062,138647.5625,50548.7695312
,CN,2013,p72p100,72941.1539354,700773.439325,121635.63129,1.99485433102,4.85098218918,2.33255434036,0.6488355398,0.8363261223,0.6839741468,36564.6523438,144460.109375,52146.9648438
,CN,2013,p73p100,74272.2177172,721279.857228,124178.952917,1.98347949982,4.8218960762,2.30780100822,0.6370802522,0.8300563097,0.6733371615,37445.4179688,149584.28125,53808.34375
,CN,2013,p74p100,75671.2714002,743132.6442,126852.423761,1.97294259071,4.72783184052,2.28364753723,0.6250407696,0.8235305548,0.662358284,38354.5234375,157182.546875,55548.1601562
,CN,2013,p75p100,77144.4944748,766441.775011,129668.418309,1.96130001545,4.69892215729,2.26013684273,0.6127014756,0.8166936636,0.6510211229,39333.3476562,163110.125,57371.9335938
,CN,2013,p76p100,78698.8572821,791408.34284,132641.171875,1.95020473003,4.60542154312,2.23715138435,0.6000447869,0.8095652461,0.6393084526,40354.1523438,171842.765625,59290.2070312
,CN,2013,p77p100,80343.0901938,818260.298774,135786.989939,1.939899683,4.66100883484,2.21506690979,0.5870571136,0.8021568656,0.6272011399,41416.1054688,175554.328125,61301.5273438
,CN,2013,p78p100,82087.4432554,847249.226383,139124.829658,1.93031704426,4.55315256119,2.19372653961,0.5737245083,0.7944633365,0.6146786809,42525.3671875,186079.6875,63419.4023438
,CN,2013,p79p100,83944.0893652,878582.359569,142677.067455,1.92234182358,4.53514575958,2.17307877541,0.5600327253,0.7863968611,0.6017197967,43667.6171875,193727.484375,65656.6484375
,CN,2013,p80p100,85931.5592409,912559.849436,146469.940966,1.92259705067,4.52505207062,2.15365481377,0.5459924936,0.7779135704,0.5883006454,44695.5625,201668.359375,68009.9453125
,CN,2013,p81p100,88075.7338598,949844.087735,150534.665534,1.92750597,4.55110120773,2.13543081284,0.531635344,0.7692117691,0.5743954182,45694.1445312,208706.421875,70493.8125
,CN,2013,p82p100,90400.842717,990717.237595,154908.612732,1.93281602859,4.53361082077,2.11801290512,0.5169504881,0.7600851059,0.5599753261,46771.5703125,218527.1875,73138.65625
,CN,2013,p83p100,92932.2783231,1035843.24145,159637.000612,1.9362590313,4.5253329277,2.10218429565,0.5019026399,0.7505557537,0.5450085998,47995.7890625,228898.796875,75938.6328125
,CN,2013,p84p100,95697.9142891,1085883.31253,164775.669438,1.9372369051,4.50303840637,2.0877199173,0.4864368141,0.7405308485,0.529460907,49399.1796875,241144.59375,78926.140625
,CN,2013,p85p100,98732.625581,1141612.1744,170393.159605,1.93672478199,4.40274524689,2.07464575768,0.4704959989,0.7298772931,0.5132917166,50979.171875,259295.53125,82131.2109375
,CN,2013,p86p100,102079.567837,1204114.19193,176576.185568,1.93308460712,4.47413301468,2.063164711,0.4540156722,0.7185148001,0.4964562654,52806.5703125,269127.9375,85585.1171875
,CN,2013,p87p100,105793.767209,1275356.87765,183434.644562,1.92958927155,4.45036458969,2.0539700985,0.4369255602,0.7066674232,0.4789007902,54827.0898438,286573.5625,89307.359375
,CN,2013,p88p100,109948.183552,1356819.09139,191111.339417,1.92566287518,4.39396333694,2.04630589485,0.4191536903,0.6939740181,0.4605624676,57096.2773438,308791.625,93393.3359375
,CN,2013,p89p100,114634.62533,1450830.58631,199793.841313,1.91556978226,4.32792329788,2.04073834419,0.4006014168,0.6802200079,0.4413627088,59843.6171875,335225.5625,97902.71875
,CN,2013,p91p100,126025.977009,1691666.40085,221283.302162,1.8707549572,3.90838718414,2.03429031372,0.3603350818,0.6489291191,0.3999557793,67366.375,432829.78125,108776.664062
,CN,2013,p92p100,133076.465413,1843197.61582,234932.656689,1.85485935211,3.48638987541,2.03218507767,0.3382168412,0.6284950972,0.3774454594,71744.7734375,528683.75,115605.929688
,CN,2013,p93p100,141499.04104,2023083.46511,251412.388393,1.84710395336,3.14764666557,2.03038334846,0.3146700859,0.6036036611,0.3534317315,76605.890625,642728.875,123825.085938
,CN,2013,p94p100,151857.774288,2242047.01604,271859.833644,1.84910094738,2.87298846245,2.02813005447,0.289462477,0.5733712912,0.3275798261,82125.1953125,780388.4375,134044.578125
,CN,2013,p95p100,165256.150015,2518047.34085,298168.676726,1.88039588928,2.65077519417,2.02601075172,0.2625013888,0.5366287231,0.2994007468,87883.703125,949928.6875,147170.328125
,CN,2013,p96p100,183536.865894,2884337.63421,333840.261868,1.89476597309,2.47572517395,2.02651000023,0.2332315445,0.4917519689,0.2681757808,96865.1875,1165047.625,164736.546875
,CN,2013,p97p100,210408.62411,3412225.71072,386260.359409,1.91769897938,2.35084009171,2.0328540802,0.2005343437,0.4363138676,0.2327138484,109719.320312,1451492.125,190008.890625
,CN,2013,p98p100,256243.788456,4295910.01883,475390.227491,1.97490143776,2.29857349396,2.07322001457,0.1628123373,0.3662057817,0.1909418404,129750.164062,1868946.125,229300.421875
,CN,2013,p0p90,21646.7839292,87166.999867,32023.0535164,,,,0.618927657604,0.334375619888,0.578796744347,10.3254728317,-82103.1484375,-3499.65039062
,CN,2013,p0p99,28100.4940564,172417.303244,43349.0669704,,,,0.883798241615,0.727538645267,0.861858129501,10.3254728317,-82103.1484375,-3499.65039062
,CN,2013,p99.1p100,386878.184393,6803803.70488,729183.340155,2.15225148201,2.47139453888,2.25720906258,0.1106167138,0.2609962523,0.1317953467,179755.09375,2753022,323046.4375
,CN,2013,p99.1p99.2,183695.873408,2822151.5848,330474.95947,,,,0.00583584,0.0120287454,0.00663681,179755.09375,2753022,323046.4375
,CN,2013,p99.2p100,412275.998465,7301510.43699,779021.883864,2.19714260101,2.52235126495,2.30413770676,0.1047808677,0.2489675283,0.1251585335,187641.890625,2894724,338096.9375
,CN,2013,p99.2p99.3,191587.416041,2975301.71771,346575.966722,,,,0.0060865465,0.0126815112,0.006960161,187641.890625,2894724,338096.9375
,CN,2013,p99.3p100,443802.936596,7919540.11225,840799.854305,2.26966333389,2.58762001991,2.36559438705,0.0986943245,0.2362860143,0.1181983724,195536.90625,3060550,355428.59375
,CN,2013,p99.3p99.4,199495.845662,3156921.73204,365586.343181,,,,0.0063377898,0.0134556238,0.0073419395,195536.90625,3060550,355428.59375
,CN,2013,p99.4p100,484520.769578,8713309.59418,920002.095821,2.37481188774,2.67283606529,2.44175434113,0.0923565328,0.222830385,0.1108564362,204024.90625,3259949,376779.15625
,CN,2013,p99.4p99.5,213297.725829,3379347.41031,390851.511429,,,,0.0067762621,0.0144036599,0.007849331,204024.90625,3259949,376779.15625
,CN,2013,p99.5p100,538765.40624,9780102.32868,1025832.18789,2.41456341743,2.78724122047,2.52231574059,0.0855802745,0.2084267288,0.1030071005,223131.59375,3508882.5,406702.53125
,CN,2013,p99.5p99.6,234436.281564,3664541.45222,426240.220125,,,,0.0074478136,0.0156192305,0.0085600298,223131.59375,3508882.5,406702.53125
,CN,2013,p99.6p100,614847.664149,11308993.044,1175730.15657,2.49158143997,2.94720029831,2.62544441223,0.078132458,0.1928075105,0.0944470689,246770.046875,3837198.75,447821.40625
,CN,2013,p99.6p99.7,260841.143227,4056950.53638,474327.417171,,,,0.0082866708,0.0172917806,0.009525747,246770.046875,3837198.75,447821.40625
,CN,2013,p99.7p100,732849.848127,13726339.9676,1409531.18342,2.65328264236,3.18488240242,2.79272794724,0.0698457882,0.1755157113,0.0849213302,276204.96875,4309842,504714.8125
,CN,2013,p99.7p99.8,302446.899973,4667094.53061,551088.411076,,,,0.0096084448,0.0198923741,0.0110673113,276204.96875,4309842,504714.8125
,CN,2013,p99.8p100,948051.306698,18255963.6786,1838752.47655,2.81445765495,3.5733294487,3.00753831863,0.0602373444,0.1556233466,0.0738540143,336850.4375,5108950.5,611381.25
,CN,2013,p99.8p99.9,412724.178217,5906978.24912,739332.591005,,,,0.0131118474528,0.0251770801842,0.0148477517068,336850.4375,5108950.5,611381.25
,CN,2013,p99.91p100,1585793.38575,33193404.1203,3155923.5854,2.72872400284,4.41166734695,3.12152051926,0.0453412123024,0.12733104825,0.0570413544774,581148.3125,7524004,1011021.25
,CN,2013,p99.91p99.92,601086.489533,7772235.20351,1044248.46488,,,,0.00190959358588,0.00331272929907,0.00209712679498,581148.3125,7524004,1011021.25
,CN,2013,p99.92p100,1708881.76328,36371048.4982,3419883.13053,2.74699306488,4.52368593216,3.1646771431,0.0434316135943,0.124018318951,0.0549442283809,622091.75,8040135.5,1080642
,CN,2013,p99.92p99.93,642676.987513,8355807.85424,1122247.55885,,,,0.00204172264785,0.00356146320701,0.00225376943126,622091.75,8040135.5,1080642
,CN,2013,p99.93p100,1861196.75783,40373226.0166,3748116.81907,2.80370044708,4.6402964592,3.21691155434,0.0413898974657,0.120456852019,0.052690461278,663835.8125,8700570,1165129
,CN,2013,p99.93p99.94,689822.917138,9118099.12065,1219359.56073,,,,0.00219150050543,0.00388637161814,0.0024487960618,663835.8125,8700570,1165129
,CN,2013,p99.94p100,2056425.73128,45582417.1407,4169576.36213,2.83372855186,4.75744104385,3.25578713417,0.0391983911395,0.116570487618,0.050241664052,725696.0625,9581289,1280666.125
,CN,2013,p99.94p99.95,770144.19691,10163256.6607,1361304.05232,,,,0.00244667357765,0.00433184485883,0.00273385806941,725696.0625,9581289,1280666.125
,CN,2013,p99.95p100,2313682.08777,52666248.2443,4731230.47674,2.81284475327,4.86623239517,3.25850701332,0.0367517210543,0.112238638103,0.0475078038871,822541.6875,10822798,1451962.625
,CN,2013,p99.95p99.96,891759.979397,11695421.4359,1571694.16122,,,,0.00283303507604,0.00498489337042,0.0031563770026,822541.6875,10822798,1451962.625
,CN,2013,p99.96p100,2669162.72341,62908952.7134,5521115.05184,2.75029945374,4.94753932953,3.23171114922,0.0339186824858,0.107253745198,0.0443514287472,970498.9375,12715200,1708418.5
,CN,2013,p99.96p99.97,1074187.03363,14173376.6773,1893263.36629,,,,0.00341258826666,0.00604106253013,0.00380217307247,970498.9375,12715200,1708418.5
,CN,2013,p99.97p100,3200821.07992,79154149.3568,6730398.86432,2.67739534378,4.95930290222,3.19351649284,0.0305060967803,0.10121268034,0.0405492559075,1195498.125,15960741,2107519.75
,CN,2013,p99.97p99.98,1360936.84947,18870750.5558,2427878.20189,,,,0.00432356446981,0.00804320536554,0.00487582059577,1195498.125,15960741,2107519.75
,CN,2013,p99.98p100,4120763.19514,109295841.81,8881659.19553,2.61730527878,4.8039932251,3.12859272957,0.0261825304478,0.0931694731116,0.0356734357774,1574429.75,22751040,2838867.25
,CN,2013,p99.98p99.99,2022885.47331,31002471.4918,3702306.03154,,,,0.00642651133239,0.0132140610367,0.00743520865217,1574429.75,22751040,2838867.25
