"COUNTRY","Country","VAR","Variable","POPULATION","Population","TIME","Time","Value","Flag Codes","Flags"
"POL","Poland","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",29.011663,,
"PRT","Portugal","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2010","2010",157933,,
"PRT","Portugal","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",155956,,
"PRT","Portugal","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2010","2010",58376.66,,
"PRT","Portugal","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2013","2013",59751.211,,
"PRT","Portugal","M2MR","Mean to median net wealth ratio","TP","Total Population","2010","2010",2.0057786,,
"PRT","Portugal","M2MR","Mean to median net wealth ratio","TP","Total Population","2013","2013",2.1899319,,
"PRT","Portugal","T1C7","Median net wealth per household (current prices)","TP","Total Population","2010","2010",78739,,
"PRT","Portugal","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",71215,,
"PRT","Portugal","SB60","Share of bottom 60% of wealth","TP","Total Population","2010","2010",14.464144,,
"PRT","Portugal","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",12.422934,,
"PRT","Portugal","ST1","Share of top 1% of wealth","TP","Total Population","2010","2010",19.630329,,
"PRT","Portugal","ST1","Share of top 1% of wealth","TP","Total Population","2013","2013",14.442963,,
"PRT","Portugal","ST10","Share of top 10% of wealth","TP","Total Population","2010","2010",51.40073,,
"PRT","Portugal","ST10","Share of top 10% of wealth","TP","Total Population","2013","2013",52.127502,,
"PRT","Portugal","ST5","Share of top 5% of wealth","TP","Total Population","2010","2010",39.280842,,
"PRT","Portugal","ST5","Share of top 5% of wealth","TP","Total Population","2013","2013",36.539959,,
"SVK","Slovak Republic","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2010","2010",79656,,
"SVK","Slovak Republic","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",66047,,
"SVK","Slovak Republic","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2010","2010",28135.32,,
"SVK","Slovak Republic","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",23488.461,,
"SVK","Slovak Republic","M2MR","Mean to median net wealth ratio","TP","Total Population","2010","2010",1.3019515,,
"SVK","Slovak Republic","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.3126441,,
"SVK","Slovak Republic","T1C7","Median net wealth per household (current prices)","TP","Total Population","2010","2010",61182,,
"SVK","Slovak Republic","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",50316,,
"SVK","Slovak Republic","SB60","Share of bottom 60% of wealth","TP","Total Population","2010","2010",28.916891,,
"SVK","Slovak Republic","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",25.886946,,
"SVK","Slovak Republic","ST1","Share of top 1% of wealth","TP","Total Population","2010","2010",7.7233076,,
"SVK","Slovak Republic","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",9.3170519,,
"SVK","Slovak Republic","ST10","Share of top 10% of wealth","TP","Total Population","2010","2010",32.783016,,
"SVK","Slovak Republic","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",34.325706,,
"SVK","Slovak Republic","ST5","Share of top 5% of wealth","TP","Total Population","2010","2010",21.75415,,
"SVK","Slovak Republic","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",22.962288,,
"SVN","Slovenia","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",137718,,
"SVN","Slovenia","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",54779.527,,
"SVN","Slovenia","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.7136137,,
"SVN","Slovenia","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",80367,,
"SVN","Slovenia","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",17.293293,,
"SVN","Slovenia","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",23.032787,,
"SVN","Slovenia","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",48.622921,,
"SVN","Slovenia","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",37.912071,,
"USA","United States","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2010","2010",452900,,
"USA","United States","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",488400,,
"USA","United States","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2016","2016",632100,,
"USA","United States","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2010","2010",174855.67,,
"USA","United States","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2013","2013",189572.23,,
"USA","United States","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2016","2016",248811.61,,
"USA","United States","M2MR","Mean to median net wealth ratio","TP","Total Population","2010","2010",7.2463999,,
"USA","United States","M2MR","Mean to median net wealth ratio","TP","Total Population","2013","2013",7.5603714,,
"USA","United States","M2MR","Mean to median net wealth ratio","TP","Total Population","2016","2016",8.166667,,
"USA","United States","T1C7","Median net wealth per household (current prices)","TP","Total Population","2010","2010",62500,,
"USA","United States","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",64600,,
"USA","United States","T1C7","Median net wealth per household (current prices)","TP","Total Population","2016","2016",77400,,
"USA","United States","SB60","Share of bottom 60% of wealth","TP","Total Population","2010","2010",2.5370326,,
"USA","United States","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",2.4078624,,
"USA","United States","SB60","Share of bottom 60% of wealth","TP","Total Population","2016","2016",2.3983548,,
"USA","United States","ST1","Share of top 1% of wealth","TP","Total Population","2010","2010",37.344597,,
"USA","United States","ST1","Share of top 1% of wealth","TP","Total Population","2013","2013",37.616608,,
"USA","United States","ST1","Share of top 1% of wealth","TP","Total Population","2016","2016",42.476238,,
"USA","United States","ST10","Share of top 10% of wealth","TP","Total Population","2010","2010",76.609886,,
"USA","United States","ST10","Share of top 10% of wealth","TP","Total Population","2013","2013",78.192551,,
"USA","United States","ST10","Share of top 10% of wealth","TP","Total Population","2016","2016",79.471603,,
"USA","United States","ST5","Share of top 5% of wealth","TP","Total Population","2010","2010",63.466412,,
"USA","United States","ST5","Share of top 5% of wealth","TP","Total Population","2013","2013",65.859283,,
"USA","United States","ST5","Share of top 5% of wealth","TP","Total Population","2016","2016",68.048569,,
"JPN","Japan","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",32555000,,
"JPN","Japan","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",13457082,,
"JPN","Japan","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.6158733,,
"JPN","Japan","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",20147000,,
"JPN","Japan","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",17.749653,,
"JPN","Japan","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",10.7663,,
"JPN","Japan","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",41.01643,,
"JPN","Japan","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",27.69113,,
